,Sentiment,Tweet,visual
0,Positive,Sure Like the Russian hacking proof like proof of Iraq s weapons of mass destruction lik,0.25
1,Negative,RT Common PMS symptoms that can occur a week before a person s period is due I suffer from all of the above RT,-0.14166666666666666
2,Positive,RT Where was Bin Laden hiding out again Oh that s right Pakistan They aren t our pa ner in the war on,0.2857142857142857
3,Neutral,Bonne nuit,0.0
4,Positive,RT A10 USA Bin laden is just a sample Pakistan is safe haven for many groups and sub groups DOUBLE FACED WEASELS,0.3333333333333333
5,Neutral,EXCLUSIVE Image shows al Qaeda s Hamza bin Laden with his brothers in Iran via Eng,0.0
6,Neutral,Kurdish NATO s agenda in Afghanistan was Russia so they funded and supplied the Jihad through the CIA,0.0
7,Neutral,RT Trump and MAGA loonies triggered that PRESIDENT OBAMA saved,0.0
8,Negative,Feeling heavy Burdened Heavy laden Let Jesus be your rest Nothing is too big Or too heavy for Him who carried the Cross,-0.12000000000000002
9,Neutral,Charlie Charlie die alte hat mir alles abverkauft xdd sie hat versucht auf nen bild von ner zeit,0.0
10,Neutral,RT a marche que pour les amis d enfance je pense,0.0
11,Neutral,RT Bref pour conclure avec a et ceux et celles qui pointe son turban personne n est n avec son hijab sur la tete que je s,0.0
12,Neutral,RT Du coup moi je sais que si demain quelque chose se passe avec mon voile ou autre je ne pourrai pas compter sur les miens par,0.0
13,Neutral,RT HD Die gr te Oppositionspa ei AfD wird wieder weggelassen In ein paar Tagen heult dann wieder ein hochrangiger Funktion r zur,0.0
14,Neutral,derjasper Ich halte es nicht f r ein so gro es Ph nomen dass man da politisch t tig werden muss Aber gru,0.0
